"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"15.05.2020","620,24","620,24","620,24","620,24","2,44%"
"14.05.2020","605,44","605,44","620,12","605,44","-2,15%"
"13.05.2020","618,75","618,75","618,75","605,45","0,00%"
"12.05.2020","618,75","618,75","618,75","590,61","-3,79%"
"11.05.2020","643,15","643,15","643,15","628,84","0,00%"
"08.05.2020","643,15","643,15","643,33","643,15","3,94%"
"07.05.2020","618,75","618,75","642,30","618,75","5,63%"
"06.05.2020","585,75","585,75","618,53","585,75","-1,44%"
"05.05.2020","594,30","594,30","594,30","585,65","0,00%"
"04.05.2020","594,30","594,30","600,00","594,30","4,08%"
"01.05.2020","571,02","571,02","604,93","571,02","0,00%"
"30.04.2020","571,02","571,02","571,02","570,92","-1,26%"
"29.04.2020","578,29","578,29","578,29","570,77","0,00%"
"28.04.2020","578,29","578,29","584,78","578,29","-2,79%"
"27.04.2020","594,90","594,90","594,90","578,54","-0,76%"
"24.04.2020","599,47","599,47","599,47","594,67","-0,77%"
"23.04.2020","604,15","604,15","604,15","599,24","1,66%"
"22.04.2020","594,30","594,30","604,29","594,30","0,00%"
"21.04.2020","594,30","594,30","613,50","594,30","-4,67%"
"20.04.2020","623,40","623,40","623,40","594,23","3,19%"
"17.04.2020","604,15","604,15","623,55","604,15","0,00%"
"16.04.2020","604,15","604,15","623,41","604,15","11,78%"
"15.04.2020","540,50","540,50","603,39","540,50","-8,99%"
"14.04.2020","593,92","593,92","593,92","545,50","13,87%"
"13.04.2020","521,56","521,56","521,63","521,56","25,74%"
"10.04.2020","414,79","414,79","521,58","414,79","-30,16%"
"09.04.2020","593,92","593,92","593,92","521,13","-3,42%"
"08.04.2020","614,95","614,95","614,95","593,67","-5,67%"
"07.04.2020","651,91","651,91","651,91","615,60","1,48%"
"06.04.2020","642,42","642,42","652,30","642,42","8,21%"
"03.04.2020","593,67","593,67","641,87","593,67","43,13%"
"02.04.2020","414,79","414,79","593,67","414,79","-23,26%"
"01.04.2020","540,50","540,50","583,83","540,50","30,31%"
"31.03.2020","414,79","414,79","540,56","414,79","0,00%"
"30.03.2020","414,79","414,79","545,42","414,79","0,00%"
"27.03.2020","414,79","414,79","486,92","414,79","-19,63%"
"26.03.2020","516,12","516,12","516,12","414,58","0,00%"
"25.03.2020","516,12","516,12","516,12","467,89","-6,23%"
"24.03.2020","550,41","550,41","550,41","517,11","-5,48%"
"23.03.2020","582,30","582,30","582,30","549,64","0,00%"
"20.03.2020","582,30","582,30","582,30","510,03","-0,64%"
"19.03.2020","586,08","586,08","586,08","575,75","15,22%"
"18.03.2020","508,66","508,66","586,73","508,66","-2,06%"
"17.03.2020","519,38","0,00","0,00","0,00","13,80%"
"16.03.2020","456,41","0,00","0,00","0,00","-6,69%"
"13.03.2020","489,12","0,00","0,00","0,00","13,03%"
"12.03.2020","432,75","0,00","0,00","0,00","6,14%"
"11.03.2020","407,70","0,00","0,00","0,00","-1,70%"
"10.03.2020","414,76","0,00","0,00","0,00","8,68%"
"09.03.2020","381,63","0,00","0,00","0,00","15,38%"
"06.03.2020","330,75","0,00","0,00","0,00","2,51%"
"05.03.2020","322,66","0,00","0,00","0,00","-2,52%"
"04.03.2020","331,00","0,00","0,00","0,00","-7,75%"
"03.03.2020","358,79","0,00","0,00","0,00","-2,53%"
"02.03.2020","368,09","0,00","0,00","0,00","14,08%"
"28.02.2020","322,65","0,00","0,00","0,00","5,72%"
"27.02.2020","305,18","0,00","0,00","0,00","1,06%"
"26.02.2020","301,98","0,00","0,00","0,00","0,44%"
"25.02.2020","300,67","0,00","0,00","0,00","6,37%"
"24.02.2020","282,66","0,00","0,00","0,00","-1,08%"
"21.02.2020","285,74","0,00","0,00","0,00","7,72%"
"20.02.2020","265,26","0,00","0,00","0,00","3,83%"
"19.02.2020","255,47","0,00","0,00","0,00","-1,84%"
"18.02.2020","260,25","0,00","0,00","0,00","-1,16%"
"17.02.2020","263,30","0,00","0,00","0,00","-0,71%"
"14.02.2020","265,19","0,00","0,00","0,00","0,00%"
"13.02.2020","265,19","0,00","0,00","0,00","-2,58%"
"12.02.2020","272,20","0,00","0,00","0,00","-1,40%"
